l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,is_cup,home_team_lsi,away_team_lsi,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
1.6,1.0,2.0,50.0,1.0,0.8,1.8,1.2,50.0,1.0,0,1.0,1.0,0,1.0,0.0,0,0
1.8,1.2,1.8,50.0,1.0,1.8,1.6,1.8,50.0,1.0,0,1.0,1.0,0,1.0,0.0,0,0
2.2,1.2,1.8,50.0,1.0,1.0,2.0,0.6,50.0,1.0,0,1.0,1.0,0,2.0,0.0,0,0
1.4,1.6,1.4,50.0,1.0,1.2,1.8,0.6,50.0,1.0,0,1.0,1.0,0,4.0,1.0,0,0
1.6,0.8,2.4,50.0,1.0,1.8,1.6,1.2,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
1.8,1.4,1.8,50.0,1.0,1.8,1.8,1.8,50.0,1.0,0,1.0,1.0,0,4.0,1.0,0,0
1.0,1.8,0.6,50.0,1.0,2.0,1.8,1.2,50.0,1.0,0,1.0,1.0,2,0.0,1.0,0,0
1.8,1.2,2.0,50.0,1.0,1.8,2.8,1.4,50.0,1.0,0,1.0,1.0,2,2.0,3.0,0,0
1.6,1.2,1.8,50.0,1.0,2.0,0.8,1.8,50.0,1.0,0,1.0,1.0,2,0.0,3.0,0,0
1.4,1.8,1.2,50.0,1.0,2.2,1.0,2.0,50.0,1.0,0,1.0,1.0,2,0.0,1.0,0,0
1.6,1.4,1.8,50.0,1.0,1.4,1.6,1.4,50.0,1.0,0,1.0,1.0,1,1.0,1.0,0,0
1.6,2.4,1.2,50.0,1.0,0.6,1.4,1.2,50.0,1.0,0,1.0,1.0,0,3.0,0.0,0,0
1.6,1.6,1.2,50.0,1.0,1.2,1.2,1.8,50.0,1.0,0,1.0,1.0,2,0.0,1.0,0,0
2.4,2.4,2.0,50.0,1.0,1.6,1.0,2.0,50.0,1.0,0,1.0,1.0,2,0.0,1.0,0,0
1.4,2.4,0.6,50.0,1.0,0.6,1.4,0.6,50.0,1.0,0,1.0,1.0,2,2.0,3.0,0,0
0.8,1.6,0.6,50.0,1.0,2.6,1.4,2.4,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
2.0,1.2,2.0,50.0,1.0,1.2,1.8,0.6,50.0,1.0,0,1.0,1.0,2,0.0,2.0,0,0
1.0,1.2,1.2,50.0,1.0,1.8,2.4,1.4,50.0,1.0,0,1.0,1.0,2,0.0,3.0,0,0
1.2,1.2,1.8,50.0,1.0,1.4,1.6,1.2,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
1.8,1.0,2.0,50.0,1.0,1.4,1.4,1.8,50.0,1.0,0,1.0,1.0,0,3.0,0.0,0,0
2.6,0.6,2.4,50.0,1.0,1.4,1.4,1.4,50.0,1.0,0,1.0,1.0,1,2.0,2.0,0,0
1.2,1.6,1.0,50.0,1.0,1.6,2.4,0.6,50.0,1.0,0,1.0,1.0,0,1.0,0.0,0,0
0.6,1.4,1.2,50.0,1.0,0.6,1.2,0.8,50.0,1.0,0,1.0,1.0,0,2.0,0.0,0,0
1.6,0.6,2.6,50.0,1.0,1.8,2.2,1.2,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
1.8,2.2,1.2,50.0,1.0,2.4,0.8,2.6,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
0.4,1.6,0.2,50.0,1.0,0.8,1.8,0.6,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
1.0,0.8,1.4,50.0,1.0,0.6,1.2,1.2,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
1.6,1.6,1.2,50.0,1.0,1.0,1.4,1.0,50.0,1.0,0,1.0,1.0,2,1.0,4.0,0,0
1.0,1.8,1.2,50.0,1.0,1.8,1.2,2.0,50.0,1.0,0,1.0,1.0,2,0.0,1.0,0,0
1.4,2.2,0.6,50.0,1.0,1.0,0.8,2.0,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
2.0,1.0,2.0,50.0,1.0,1.2,0.4,2.6,50.0,1.0,0,1.0,1.0,0,1.0,0.0,0,0
0.6,1.4,0.8,50.0,1.0,2.2,2.0,1.8,50.0,1.0,0,1.0,1.0,1,1.0,1.0,0,0
1.6,1.0,2.0,50.0,1.0,1.8,1.6,1.4,50.0,1.0,0,1.0,1.0,0,3.0,0.0,0,0
1.2,0.6,2.0,50.0,1.0,1.4,1.6,1.0,50.0,1.0,0,1.0,1.0,1,1.0,1.0,0,0
0.6,1.6,0.6,50.0,1.0,1.2,2.6,0.0,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
2.4,1.4,2.0,50.0,1.0,0.6,1.8,0.6,50.0,1.0,0,1.0,1.0,0,1.0,0.0,0,0
2.2,1.0,2.0,50.0,1.0,2.2,0.8,2.6,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
1.0,0.2,2.6,50.0,1.0,0.2,1.2,0.4,50.0,1.0,0,1.0,1.0,2,2.0,3.0,0,0
1.2,0.6,2.4,50.0,1.0,1.6,2.0,1.2,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
1.8,1.0,2.0,50.0,1.0,1.0,1.4,1.2,50.0,1.0,0,1.0,1.0,0,2.0,0.0,0,0
1.0,2.4,0.0,50.0,1.0,0.8,0.6,1.6,50.0,1.0,0,1.0,1.0,1,2.0,2.0,0,0
1.6,0.6,2.0,50.0,1.0,2.0,0.6,2.6,50.0,1.0,0,1.0,1.0,1,2.0,2.0,0,0
1.2,1.6,1.2,50.0,1.0,1.2,1.6,0.6,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
1.6,1.6,1.4,50.0,1.0,2.0,1.0,1.8,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
0.2,2.0,0.0,50.0,1.0,1.2,0.6,2.4,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
0.6,1.2,1.0,50.0,1.0,1.8,0.6,2.4,50.0,1.0,0,1.0,1.0,0,1.0,0.0,0,0
1.0,1.6,1.2,50.0,1.0,0.8,1.4,1.0,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
1.6,1.6,1.4,50.0,1.0,1.2,0.8,2.0,50.0,1.0,0,1.0,1.0,2,2.0,4.0,0,0
2.0,1.0,2.2,50.0,1.0,1.0,1.0,1.2,50.0,1.0,0,1.0,1.0,1,2.0,2.0,0,0
1.0,0.6,2.0,50.0,1.0,1.2,2.0,0.2,50.0,1.0,0,1.0,1.0,0,3.0,0.0,0,0
0.8,1.2,1.2,50.0,1.0,1.2,1.0,1.6,50.0,1.0,0,1.0,1.0,2,0.0,1.0,0,0
1.2,0.4,1.8,50.0,1.0,1.8,1.6,1.4,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
1.2,0.8,1.4,50.0,1.0,1.2,0.8,1.6,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
0.8,1.0,0.8,50.0,1.0,0.8,0.8,1.6,50.0,1.0,0,1.0,1.0,1,2.0,2.0,0,0
1.8,1.2,2.0,50.0,1.0,1.0,1.0,1.4,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
1.8,1.4,1.8,50.0,1.0,0.8,1.4,0.8,50.0,1.0,0,1.0,1.0,2,1.0,3.0,0,0
1.4,0.6,2.0,50.0,1.0,1.8,1.6,1.4,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
1.4,1.2,1.4,50.0,1.0,0.8,2.0,0.2,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
1.2,1.2,1.0,50.0,1.0,1.4,1.0,1.4,50.0,1.0,0,1.0,1.0,2,1.0,2.0,0,0
0.0,1.6,0.2,50.0,1.0,0.2,1.0,0.6,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
1.2,1.2,1.6,50.0,1.0,1.4,1.2,1.4,50.0,1.0,0,1.0,1.0,0,2.0,1.0,0,0
1.6,1.8,1.4,50.0,1.0,1.6,1.6,1.6,50.0,1.0,0,1.0,1.0,1,1.0,1.0,0,0
1.2,0.8,2.0,50.0,1.0,1.0,1.2,1.4,50.0,1.0,0,1.0,1.0,1,0.0,0.0,0,0
